FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME,ORIGIN_WIND_SPEED,ORIGIN_VISIBILITIES,DEST_WIND_SPEED,DEST_VISIBILITIES
2019-01-02,19790,2970,JFK,SEA,1838,2225,8.05,10.00,4.60,8.00
2019-01-02,19790,2961,JFK,SEA,655,1000,5.75,10.00,10.35,10.00
2019-01-02,19790,2904,SEA,HNL,1730,2148,6.90,10.00,,
2019-01-02,19977,1822,LAX,SEA,2015,2311,0.00,10.00,3.45,6.00
2019-01-02,19977,2340,SEA,LAX,553,835,8.05,10.00,4.60,10.00
2019-01-02,19805,2312,SEA,MIA,1149,2034,8.05,10.00,11.50,10.00
2019-01-02,19805,2312,MIA,SEA,659,1050,6.90,10.00,4.60,10.00
2019-01-02,19690,28,HNL,SEA,2230,557,,,8.05,10.00
2019-01-02,19690,27,SEA,HNL,1206,1610,4.60,10.00,,
2019-01-02,19690,22,HNL,SEA,1425,2222,,,5.75,9.00
2019-01-02,19690,21,SEA,HNL,836,1241,5.75,10.00,,
2019-01-02,20409,464,SEA,JFK,1309,2119,10.35,10.00,8.05,10.00
2019-01-02,20304,5608,LAX,SEA,812,1122,4.60,10.00,6.90,10.00
2019-01-02,20409,263,JFK,SEA,1736,2109,8.05,10.00,10.35,10.00
2019-01-02,20409,63,JFK,SEA,842,1149,6.90,10.00,8.05,10.00
2019-01-02,19790,1098,SEA,LAX,750,1030,4.60,10.00,0.00,10.00
2019-01-02,19790,1109,SEA,JFK,1142,1947,6.90,10.00,8.05,10.00
2019-01-02,20409,264,SEA,JFK,2214,613,6.90,10.00,8.05,10.00
2019-01-02,20304,5191,SEA,LAX,1853,2203,10.35,10.00,11.50,10.00
2019-01-02,19790,1181,LAX,SEA,2044,2347,6.90,10.00,4.60,2.50
2019-01-02,20304,5384,SEA,LAX,1215,1505,4.60,10.00,4.60,10.00
2019-01-02,19805,305,MIA,SEA,2028,17,8.05,10.00,0.00,8.00
2019-01-02,19790,2590,SEA,JFK,2323,741,4.60,5.00,5.75,10.00
2019-01-02,19790,2498,JFK,SEA,1108,1419,3.45,10.00,9.20,10.00
2019-01-02,19790,2481,LAX,SEA,731,1032,5.75,10.00,6.90,10.00
2019-01-02,19790,2266,SEA,LAX,1642,1917,9.20,10.00,3.45,10.00
2019-01-02,19790,2218,HNL,SEA,2312,635,,,9.20,10.00
2019-01-02,19790,2205,JFK,SEA,1541,1858,6.90,10.00,12.65,10.00
2019-01-02,19790,2190,SEA,LAX,1121,1348,6.90,10.00,5.75,10.00
2019-01-02,19790,2218,SEA,JFK,751,1548,4.60,10.00,6.90,10.00
2019-01-02,19790,1665,SEA,LAX,1403,1628,6.90,10.00,6.90,M
2019-01-02,19790,1652,SEA,LAX,1826,2058,9.20,10.00,6.90,10.00
2019-01-02,19790,1574,SEA,LAX,1207,1442,4.60,10.00,0.00,10.00
2019-01-02,19790,1568,SEA,HNL,807,1229,3.45,10.00,,
2019-01-02,19790,1542,SEA,JFK,1603,2348,6.90,10.00,9.20,10.00
2019-01-02,19790,1538,LAX,SEA,1028,1314,0.00,10.00,9.20,10.00
2019-01-02,19790,1380,LAX,SEA,1257,1540,0.00,10.00,11.50,10.00
2019-01-02,19790,1947,HNL,SEA,1357,2130,,,10.35,10.00
2019-01-02,19790,1349,LAX,SEA,1456,1745,0.00,10.00,6.90,10.00
2019-01-03,19930,1144,SEA,AUS,1158,1804,9.20,10.00,0.00,10.00
2019-01-03,19930,1031,LAX,SEA,953,1247,4.60,10.00,9.20,10.00
2019-01-03,19930,1033,LAX,SEA,1151,1456,5.75,10.00,13.80,10.00
2019-01-03,19930,1047,LAX,SEA,2351,222,11.50,10.00,0.00,3.00
2019-01-03,19930,1041,LAX,SEA,1408,1650,3.45,10.00,11.50,10.00
2019-01-03,19930,1043,LAX,SEA,1814,2120,6.90,10.00,18.40,10.00
2019-01-03,19930,1013,LAX,SEA,549,903,4.60,10.00,8.05,3.00
